annee;nom;prenom;code_categorie_iuf;categorie_iuf;code_reconduction_iuf;reconduction_iuf;code_sexe;sexe;code_section_cnu;section_cnu;code_groupe_cnu;groupe_cnu;code_secteur_cnu;secteur_disciplinaire;code_groupe_corps;groupe_de_corps;code_uai;numero_national_de_structure_de_recherche;unite_de_recherche;code_academie;academie;code_region;region;code_pres;pres;code_idex;idex;latitude;longitude;discipline_nomenclature;etablissement
1991;SIMON;DENYS;1;Junior;0;Nouvelle candidature;1;Hommes;2;Section 2 - Droit public;1;Droit et Science politique;1;Droit et sciences economiques;;;0673021V;;;15;Strasbourg;42;Alsace;;Hors PRES;8;UNISTRA;48.5800468;7.7656124;Droit et sciences economiques>Droit et Science politique>Section 2 - Droit public;Universite de Strasbourg
1991;MOEGLIN;JEAN-MARIE;1;Junior;0;Nouvelle candidature;1;Hommes;21;"Section 21 - Histoire et civilisations : histoire et archeologie des mondes anciens et  des mondes medievaux;de l'art";4;Sciences humaines;2;Lettres et sciences humaines;;;0941111X;;;24;Creteil;11;Île-de-France;0772710C;Universite Paris-Est;;Hors IDEX;48.7881615;2.4459648;"Lettres et sciences humaines>Sciences humaines>Section 21 - Histoire et civilisations : histoire et archeologie des mondes anciens et  des mondes medievaux;de l'art";Universite Paris-Est Creteil Val-de-Marne
1991;LAFFONT;JEAN-JACQUES;2;Senior;0;Nouvelle candidature;1;Hommes;5;Section 5 - Science economique generale;2;Sciences economique et de gestion;1;Droit et sciences economiques;;;0311382J;;;16;Toulouse;73;Midi-Pyrenees;0312758E;Universite federale de Toulouse Midi-Pyrenees;6;IDEX UNITI;43.60635;1.4356166;Droit et sciences economiques>Sciences economique et de gestion>Section 5 - Science economique generale;Universite Toulouse 1 - Capitole
1991;GOULEMOT;JEAN-MARIE;2;Senior;0;Nouvelle candidature;1;Hommes;;;;;;;;;0370800U;;;18;Orleans-Tours;24;Centre;0371692N;PRES Centre-Val de Loire Universite;;Hors IDEX;47.3836664;0.6753195;;Universite François-Rabelais
1991;DUBET;FRANCOIS;2;Senior;0;Nouvelle candidature;1;Hommes;19;Section 19 - Sociologie, demographie;4;Sciences humaines;2;Lettres et sciences humaines;1;Professeurs et assimiles;0333298F;;;4;Bordeaux;72;Aquitaine;0333178A;Communaute d'universites et etablissements d'Aquitaine;2;IDEX Bordeaux;44.825822;-0.60653;Lettres et sciences humaines>Sciences humaines>Section 19 - Sociologie, demographie;Universite de Bordeaux
1991;CORRIU;ROBERT;2;Senior;0;Nouvelle candidature;1;Hommes;;;;;;;;;0342321N;;;11;Montpellier;91;Languedoc-Roussillon;;Hors PRES;;Hors IDEX;43.598480227;3.8968741573;;Universite de Montpellier
1991;BOUDOU;ALAIN;1;Junior;0;Nouvelle candidature;1;Hommes;67;Section 67 - Biologie des populations et ecologie;10;Biologie et Biochimie;3;Sciences;1;Professeurs et assimiles;0333298F;199512085M;Environnements et Paleoenvironnements Oceaniques et Continentaux;4;Bordeaux;72;Aquitaine;0333178A;Communaute d'universites et etablissements d'Aquitaine;2;IDEX Bordeaux;44.825822;-0.60653;Sciences>Biologie et Biochimie>Section 67 - Biologie des populations et ecologie;Universite de Bordeaux
1991;BLOCH;BERTRAND;1;Junior;0;Nouvelle candidature;1;Hommes;42;Section 42 - Sciences morphologiques;14;Medecine;4;Sante;1;Professeurs et assimiles;0333298F;;;4;Bordeaux;72;Aquitaine;0333178A;Communaute d'universites et etablissements d'Aquitaine;2;IDEX Bordeaux;44.825822;-0.60653;Sante>Medecine>Section 42 - Sciences morphologiques;Universite de Bordeaux
1992;VILLERMAUX;JACQUES;2;Senior;0;Nouvelle candidature;1;Hommes;62;Section 62 - Energetique, genie des procedes;9;Mecanique, Genie mecanique, Genie informatique;3;Sciences;;;0542493S;;;12;Nancy-Metz;41;Lorraine;0542471T;PRES Universite de Lorraine;;Hors IDEX;48.696236;6.176543;Sciences>Mecanique, Genie mecanique, Genie informatique>Section 62 - Energetique, genie des procedes;Universite de Lorraine
1992;THEBAUD;FRANCOISE;1;Junior;0;Nouvelle candidature;2;Femmes;22;"Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";4;Sciences humaines;2;Lettres et sciences humaines;2;Maîtres de conferences et assimiles;0691775E;;;10;Lyon;82;Rhône-Alpes;0694094A;Universite de Lyon;;Hors IDEX;45.7495517;4.8374255;"Lettres et sciences humaines>Sciences humaines>Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";Universite Lumière - Lyon 2
1992;SERRE;DENIS;1;Junior;0;Nouvelle candidature;1;Hommes;26;Section 26 - Mathematiques appliquees et applications des mathematiques;5;Mathematiques et Informatique;3;Sciences;;;0694123G;199812077R;Unite de Mathematiques Pures et Appliquees;10;Lyon;82;Rhône-Alpes;0694094A;Universite de Lyon;;Hors IDEX;45.7320772;4.8339468;Sciences>Mathematiques et Informatique>Section 26 - Mathematiques appliquees et applications des mathematiques;ecole normale superieure de Lyon
1992;OSBORN;JOHN;2;Senior;0;Nouvelle candidature;1;Hommes;32;Section 32 - Chimie organique, minerale, industrielle;7;Chimie;3;Sciences;;;0673021V;;;15;Strasbourg;42;Alsace;;Hors PRES;8;UNISTRA;48.5800468;7.7656124;Sciences>Chimie>Section 32 - Chimie organique, minerale, industrielle;Universite de Strasbourg
1992;LEQUIN;YVES;2;Senior;0;Nouvelle candidature;1;Hommes;22;"Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";4;Sciences humaines;2;Lettres et sciences humaines;;;0691775E;;;10;Lyon;82;Rhône-Alpes;0694094A;Universite de Lyon;;Hors IDEX;45.7495517;4.8374255;"Lettres et sciences humaines>Sciences humaines>Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";Universite Lumière - Lyon 2
1992;HANSEN;JEAN-PIERRE;2;Senior;0;Nouvelle candidature;1;Hommes;29;Section 29 - Constituants elementaires;6;Physique;3;Sciences;;;0694123G;;;10;Lyon;82;Rhône-Alpes;0694094A;Universite de Lyon;;Hors IDEX;45.7320772;4.8339468;Sciences>Physique>Section 29 - Constituants elementaires;ecole normale superieure de Lyon
1992;COUDER;YVES;2;Senior;0;Nouvelle candidature;1;Hommes;28;Section 28 - Milieux denses et materiaux;6;Physique;3;Sciences;;;0751723R;;;1;Paris;11;Île-de-France;0755598C;Universite Sorbonne Paris Cite;7;IDEX USPC;48.8303058;2.3813579;Sciences>Physique>Section 28 - Milieux denses et materiaux;Universite Paris Diderot
1993;MOATTI;CLAUDIA;1;Junior;0;Nouvelle candidature;2;Femmes;21;"Section 21 - Histoire et civilisations : histoire et archeologie des mondes anciens et  des mondes medievaux;de l'art";4;Sciences humaines;2;Lettres et sciences humaines;2;Maîtres de conferences et assimiles;0751717J;199812913Z;Centre Gustave Glotz. Recherches sur les Mondes Hellenistique et Romain;1;Paris;11;Île-de-France;0755581J;Hautes etudes-Sorbonne-Arts et Metiers;;Hors IDEX;48.8468057;2.3448603;"Lettres et sciences humaines>Sciences humaines>Section 21 - Histoire et civilisations : histoire et archeologie des mondes anciens et  des mondes medievaux;de l'art";Universite Paris 1 - Pantheon Sorbonne
1993;MADARIAGA;RAUL;2;Senior;0;Nouvelle candidature;1;Hommes;35;Section 35 - Structure et evolution de la Terre et des autres planètes;8;Sciences de la terre;3;Sciences;;;0751723R;199812866Y;Laboratoire de Geologie de l'ecole Normale Superieure;1;Paris;11;Île-de-France;0755598C;Universite Sorbonne Paris Cite;7;IDEX USPC;48.8303058;2.3813579;Sciences>Sciences de la terre>Section 35 - Structure et evolution de la Terre et des autres planètes;Universite Paris Diderot
1993;LERNER;NICOLAS;1;Junior;0;Nouvelle candidature;1;Hommes;25;Section 25 - Mathematiques;5;Mathematiques et Informatique;3;Sciences;1;Professeurs et assimiles;0350936C;199712632Y;Institut de Mathematiques de Jussieu - Paris Rive Gauche;14;Rennes;53;Bretagne;0352756F;Universite Bretagne Loire;;Hors IDEX;48.1160566;-1.6741421;Sciences>Mathematiques et Informatique>Section 25 - Mathematiques;Universite de Rennes 1
1993;LE RIDER;JACQUES;1;Junior;0;Nouvelle candidature;1;Hommes;12;Section 12 - Langues et litteratures germaniques et scandinaves;3;Langues et Litteratures;2;Lettres et sciences humaines;1;Professeurs et assimiles;0931827F;;;24;Creteil;11;Île-de-France;0755698L;Universite Paris Lumières;;Hors IDEX;48.9452421;2.3639438;Lettres et sciences humaines>Langues et Litteratures>Section 12 - Langues et litteratures germaniques et scandinaves;Universite Paris 8 - Vincennes - Saint-Denis
1993;LE GUILLOU;JEAN-CLAUDE;2;Senior;0;Nouvelle candidature;1;Hommes;29;Section 29 - Constituants elementaires;6;Physique;3;Sciences;;;0730858L;;;8;Grenoble;82;Rhône-Alpes;0383412C;Universite Grenoble Alpes;;Hors IDEX;45.5667761;5.9176353;Sciences>Physique>Section 29 - Constituants elementaires;Universite de Savoie
